Janr,Nesriyyat,Cild,Muellif,Sehife sayi,Dil,Qiymet
Hekayə,Qanun Nəşriyyatı,Yumşaq,Seymur Baycan,368.0,Azərbaycan,9.59
Biznes-Psixologiya,Qanun Nəşriyyatı,Yumşaq,Brian Tracy,288.0,Azərbaycan,7.99
Bioqrafiya,Qanun Nəşriyyatı,Yumşaq,Pablo Neruda,464.0,Azərbaycan,11.99
Detektiv,Qanun Nəşriyyatı,Yumşaq,Aqata Kristi,288.0,Azərbaycan,5.59
Klassika,Əli və Nino Nəşriyyatı və Qanun Nəşriyyatı,Yumşaq,Edit Nesbit,256.0,Azərbaycan,6.99
Fantastika,Qanun Nəşriyyatı,Yumşaq,Neil Gaiman,552.0,Azərbaycan,11.99
Fəlsəfə,Qanun Nəşriyyatı,Yumşaq,Konfutsi,104.0,Azərbaycan,3.99
Uşaq tərbiyəsi,Qanun Nəşriyyatı,Yumşaq,Mustafa BAK,392.0,Azərbaycan,9.59
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Og Mandino,224.0,Azərbaycan,4.79
Bioqrafiya,Qanun Nəşriyyatı,Yumşaq,İrvinq Stoun,544.0,Azərbaycan,11.19
Tarix,Qanun Nəşriyyatı,Yumşaq,Vilayət Quliyev,192.0,Azərbaycan,7.99
Folklor,Qanun Nəşriyyatı,Bərk,Viktor Jirmunski,432.0,Azərbaycan,15.99
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Robert Qrin,464.0,Azərbaycan,9.59
Roman,Qanun Nəşriyyatı,Yumşaq,Sadiq Hidayət,112.0,Azərbaycan,4.79
Poeziya,Qanun Nəşriyyatı,Yumşaq,Xaqani Hass,80.0,Azərbaycan,3.99
Klassika,Qanun Nəşriyyatı,Yumşaq,Nəriman Nərimanov,80.0,Azərbaycan,3.19
Roman,Qanun Nəşriyyatı,Yumşaq,Sabir Rüstəmxanlı,88.0,Azərbaycan,2.39
Hüquq,Qanun Nəşriyyatı,Yumşaq,Əhməd Ağaoğlu,160.0,Azərbaycan,5.59
Roman,Qanun Nəşriyyatı,Yumşaq,Gail Honeyman,464.0,Azərbaycan,10.39
Elm,Qanun Nəşriyyatı,Yumşaq,Richard Dawkins,464.0,Azərbaycan,12.79
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Hal Elrod,224.0,Azərbaycan,7.99
Psixologiya,Qanun Nəşriyyatı,Yumşaq,Riçard Vayzman,320.0,Azərbaycan,9.59
Poeziya,Qanun Nəşriyyatı,Yumşaq,Rahid Uluse­l,216.0,Azərbaycan,7.2
Tarixi roman,Qanun Nəşriyyatı,Yumşaq,Sabir Rüstəmxanlı,432.0,Azərbaycan,7.99
